Content Manifest for Depot 230411 

Manifest ID / date     : 9187782625344917768 / 06/29/2017 08:57:07 
Total number of files  : 427 
Total number of chunks : 20384 
Total bytes on disk    : 20106788858 
Total bytes compressed : 16263914080 


          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    40 Cache.Windows
     137047535    131 903e8e56d580521a0cc79956078c27366ce8beec     0 Cache.Windows\B.AnimRetarget.cache
        320552      1 624c2873363a950ee687ce908cb452164fa04ca7     0 Cache.Windows\B.AnimRetarget.toc
         38315      1 67657fabf1d94a4a7862ecd5c886c991377d4d00     0 Cache.Windows\B.CharacterCodesCache.cache
           200      1 a280ab831abf22a8454e907985132bb87a9bf54e     0 Cache.Windows\B.CharacterCodesCache.toc
       1516658      2 a91088b8ac38003d09635599d7be1398029cf9de     0 Cache.Windows\B.CharacterCodesCacheDx10.cache
          7208      1 d89205381fa46da8a15a212d73c322aa0a135929     0 Cache.Windows\B.CharacterCodesCacheDx10.toc
       1517608      2 4715c7f2d9c8bb83aad20d7d0c5972ef8788d3a8     0 Cache.Windows\B.CharacterCodesCacheDx11.cache
          7208      1 acf7b35c7f8aa42d318abd047ed2c1e4166192fb     0 Cache.Windows\B.CharacterCodesCacheDx11.toc
        843575      1 36bd423b361a4087288508f266274dc417956d72     0 Cache.Windows\B.CharacterCodesCacheDx9.cache
          7208      1 8e21a0444e35562912fa9250acfcc4f2d58a740a     0 Cache.Windows\B.CharacterCodesCacheDx9.toc
      11321957     11 b8f5bd5df8a11370fa3dfdf78d079fe8c05e8d86     0 Cache.Windows\B.Font.cache
        179624      1 3fea9f0ce080427382fe9539fec8d8e8d76a1087     0 Cache.Windows\B.Font.toc
    2405473985   2318 4edaf246382ac83f2a8ed503e7368745ed263ed6     0 Cache.Windows\B.Misc.cache
       5235464      5 3d08219b08d7d09c54b88deee09a50306cfff3be     0 Cache.Windows\B.Misc.toc
        112855      1 2e299987ce24035ff5b8a10ef4ad2f5b01b1b12d     0 Cache.Windows\B.Misc_de.cache
