Content Manifest for Depot 230411 

Manifest ID / date     : 3078917755629993445 / 03/06/2020 14:41:32 
Total number of files  : 362 
Total number of chunks : 42379 
Total bytes on disk    : 41567361518 
Total bytes compressed : 32537642608 


          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    40 Cache.Windows
     159406866    153 65fa710b5aa08464074654019fe91a6d19d6a4b6     0 Cache.Windows\B.AnimRetarget.cache
        535976      1 cb644cf1d9520015674bd709b552066005181c12     0 Cache.Windows\B.AnimRetarget.toc
         38995      1 59939c3fac9dda1996120834f20fad604a6fe587     0 Cache.Windows\B.CharacterCodesCache.cache
           200      1 992858f652fedccd3a133e16309ac4998382e6f7     0 Cache.Windows\B.CharacterCodesCache.toc
      17043465     17 286c8625506aa19093280e9c759274eb69639409     0 Cache.Windows\B.Font.cache
        311240      1 d9b4b5555bf62b1b9eb249e75fdc632f98b0f024     0 Cache.Windows\B.Font.toc
    4648118854   4612 c2b87957beb5d3d8d478f613d355b9c5dc290858     0 Cache.Windows\B.Misc.cache
       8558984      9 6737ddcab0d35e08359f34834a683f08332af8f1     0 Cache.Windows\B.Misc.toc
         40671      1 9506708ad00a850a2bbbe2a0e557f08d42d9d3c4     0 Cache.Windows\B.Misc_de.cache
          3272      1 ad9ac71ca6494a5562b013586664e11d99c14d23     0 Cache.Windows\B.Misc_de.toc
         36169      1 7f249896372e8356adeb692d63397e25ea3443f0     0 Cache.Windows\B.Misc_en.cache
          3272      1 9606fe11d2092a42bce3bb57635b7ddb5e492602     0 Cache.Windows\B.Misc_en.toc
         41339      1 04dea3492c99d74ad5d32c1f72d67e2b6ee4ee98     0 Cache.Windows\B.Misc_es.cache
          3272      1 80024679941012ae99ec34df6e4299470e472f8f     0 Cache.Windows\B.Misc_es.toc
         41754      1 467b09030e33e1e942efdaec2e9c3cbcc18d332b     0 Cache.Windows\B.Misc_fr.cache
          3272      1 cbc3fb6d381d592e5a88aa6b1ce4b8df0449fd5d     0 Cache.Windows\B.Misc_fr.toc
         42131      1 2a8429bd86a087645705ffeb55a5b584f4327c83     0 Cache.Windows\B.Misc_it.cache
          3272      1 69469ce255ccd0f2dddbb1180409e431adc9554f     0 Cache.Windows\B.Misc_it.toc
        433512      1 120eee7634cdeeca8e6e779ab6dbe3fd1d4e5976     0 Cache.Windows\B.Misc_ja.cache
          2888      1 5f3e99cc882f051a756ac8fce6cb3803b819e277     0 Cache.Windows\B.Misc_ja.toc
        238703      1 20d61c922c4a78ca34c5b31a221b960801229dc6     0 Cache.Windows\B.Misc_ko.cache
          2888      1 c163e3682b38c93df9e7fb0b1db189ef4e76ad92     0 Cache.Windows\B.Misc_ko.toc
         37411      1 ebdcc71d8437ccdcf2978c93e048ff6089327bce     0 Cache.Windows\B.Misc_pl.cache
          3272      1 1e856e59bd51860e5a39f9168c3d63101896fe0c     0 Cache.Windows\B.Misc_pl.toc
         43073      1 32cc033b2af7b9050650360110af967b3f446762     0 Cache.Windows\B.Misc_pt.cache
          3272      1 541901c02d04db6d01d4353b67b2eadb3a73d4cd     0 Cache.Windows\B.Misc_pt.toc
         42030      1 a44c162b2503a908a55443941eb9b1ce7e619f71     0 Cache.Windows\B.Misc_ru.cache
          3272      1 8ef2f84d3ddcf90d45c832dbc7ff98f60ad5310b     0 Cache.Windows\B.Misc_ru.toc
        482213      1 4ea7d6d71bc4bd8f7f0d6c363c2255b730029324     0 Cache.Windows\B.Misc_tc.cache
          2888      1 f36cdd0a8939fe482ef48114b30d5cc8830caa15     0 Cache.Windows\B.Misc_tc.toc
         40483      1 ff660c28c2b01df513aae50fa59f146fd63946c7     0 Cache.Windows\B.Misc_tr.cache
