Content Manifest for Depot 230411 

Manifest ID / date     : 8839989774604564585 / 08/30/2019 02:35:20 
Total number of files  : 327 
Total number of chunks : 37666 
Total bytes on disk    : 37509825959 
Total bytes compressed : 29102022032 


          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    40 Cache.Windows
     147530074    142 f7c46b5e17a30cab5e4526ca3470fdf550ec566c     0 Cache.Windows\B.AnimRetarget.cache
        464552      1 ac2ffe079e1e243e6eb2c86485ff391f4a534aee     0 Cache.Windows\B.AnimRetarget.toc
         38750      1 f3d9a9a0959d2a6c8d2a2694af41e234db3995f1     0 Cache.Windows\B.CharacterCodesCache.cache
           200      1 0266b8d5666c5f50a9f86a880ece3dcbab3c2247     0 Cache.Windows\B.CharacterCodesCache.toc
      15365300     15 7b7edbc8737732a4d87ed358aa018844805ccbd4     0 Cache.Windows\B.Font.cache
        281000      1 7fb6191b959d92b68e8f0cad2bbbf601b34f60f7     0 Cache.Windows\B.Font.toc
    4145907304   4076 db405f031465f5b49d3e792c99cc897bcd58982f     0 Cache.Windows\B.Misc.cache
       7871240      8 a8772aac112cb251f3712fd0063113bf7c07e987     0 Cache.Windows\B.Misc.toc
         39657      1 5a828aeca7fb2271b1cdd6f948ec1190863a1508     0 Cache.Windows\B.Misc_de.cache
          3272      1 80ebcb5b3d7396ce53581fdd16e9c9abe076e5ab     0 Cache.Windows\B.Misc_de.toc
         35370      1 39109ebbdd363ce6739d89b93506b852c4cecfcd     0 Cache.Windows\B.Misc_en.cache
          3272      1 7eac5fdd6d2ef42111865629d97e51db84a5c284     0 Cache.Windows\B.Misc_en.toc
         40291      1 e5db2eaacef1a24fd695991786255dc0c6919025     0 Cache.Windows\B.Misc_es.cache
          3272      1 da1eda8ef0730baa4dbf174fabf58f8c6f04d272     0 Cache.Windows\B.Misc_es.toc
         40736      1 09bc2851d883a11ce231c814c10bc47390486559     0 Cache.Windows\B.Misc_fr.cache
          3272      1 bf5f9761790f3619a42b49abf902548dd467dc3c     0 Cache.Windows\B.Misc_fr.toc
         41156      1 e86e4b5cf12a3864b43bfadf67cf5f3afbaa5f5f     0 Cache.Windows\B.Misc_it.cache
          3272      1 e9d95b1b4c56360ea204137faa0b13e6e4e82a28     0 Cache.Windows\B.Misc_it.toc
        432393      1 0a40a91dd4678556b0494e20c42e124330fe6729     0 Cache.Windows\B.Misc_ja.cache
          2888      1 b783ea6cba34e4e1685946a168dfd2943b8318e4     0 Cache.Windows\B.Misc_ja.toc
        238235      1 33bcac9cfbbb92b1c203e3f1e1c867861f198301     0 Cache.Windows\B.Misc_ko.cache
          2888      1 8c4fcd11bcbbcb691f683ef45d672ed91b30df23     0 Cache.Windows\B.Misc_ko.toc
         36328      1 7488cc08da90c832601910919d5fbab56f616319     0 Cache.Windows\B.Misc_pl.cache
          3272      1 6f11d5882fcee691495ad1cfe1c54220c3dc1064     0 Cache.Windows\B.Misc_pl.toc
         42081      1 3b6567cfb83de5281ab7dd9330d6aee2138fd0cf     0 Cache.Windows\B.Misc_pt.cache
          3272      1 3e6037a5d6f20d06b8809450c92fc5c484e2657f     0 Cache.Windows\B.Misc_pt.toc
         40969      1 ff0aa9b933be80c448912810196020b28a5bade8     0 Cache.Windows\B.Misc_ru.cache
          3272      1 688474aa119efc24081aa2dfcfa9d9cc28093066     0 Cache.Windows\B.Misc_ru.toc
        479182      1 8fc4cacab79fa01045b719de83eef3a3739c2166     0 Cache.Windows\B.Misc_tc.cache
          2888      1 fc30d0eafe89dafa86f95b59a2dc405e05e28496     0 Cache.Windows\B.Misc_tc.toc
         39493      1 a90ad6f17638a12049008668539d2e12245f6cf7     0 Cache.Windows\B.Misc_tr.cache
          3272      1 8dbf252895184428b1459025c51edce7e01e1897     0 Cache.Windows\B.Misc_tr.toc
         40022      1 0f049c568d5fee52e05983a95dec87869d1f954d     0 Cache.Windows\B.Misc_uk.cache
          3272      1 13638bf1e941614cdbdad0f777384c2be3ce255b     0 Cache.Windows\B.Misc_uk.toc
      10809076     12 33e21dca66714610e552eb775a1bab10da9b91d6     0 Cache.Windows\B.Misc_xx.cache
       1160840      2 c558c7dd2ce2b0a67a22483a913db50ca3496317     0 Cache.Windows\B.Misc_xx.toc
        476664      1 e00b2d819eded10600132bcfef338563da895262     0 Cache.Windows\B.Misc_zh.cache
          2888      1 2326c715a458c19ea691c64815404ba4eaa3dd44     0 Cache.Windows\B.Misc_zh.toc
       2201771      3 769ce8c162484c60e17e914665ee670337a5adca     0 Cache.Windows\B.ShaderDx10.cache
          9320      1 04163f1123d0e5a4b55e832a2128dba0230dc085     0 Cache.Windows\B.ShaderDx10.toc
       7490272      8 f4f7e025e907133afe4a7cf9d93f8e15a151aa44     0 Cache.Windows\B.ShaderDx11.cache
          9320      1 103b7493a024e715df1f24698b89f6a2f58f3e7a     0 Cache.Windows\B.ShaderDx11.toc
    1880589004   1795 c23e412d500ff298c17dbcb489f4a9337d47dba6     0 Cache.Windows\B.ShaderPermutationDx10.cache
        817928      1 bde99316959a2ae4f7b9d81e402d66b8a94b5780     0 Cache.Windows\B.ShaderPermutationDx10.toc
    1915005311   1828 ae49a63c850b5f1e1132e533b8731ccbf551e4a2     0 Cache.Windows\B.ShaderPermutationDx11.cache
        817928      1 e1892621c92bfaa621df7516e37761a7c9c57ef5     0 Cache.Windows\B.ShaderPermutationDx11.toc
    1665281713   1609 473ebf38f4e42978dabe4611c597cb828c408f31     0 Cache.Windows\B.TextureDx9.cache
       5702504      6 2cceb75c5b1ada4e4895dea218d64a0fbb44e8f9     0 Cache.Windows\B.TextureDx9.toc
        594868      1 67db30795b79802fb44447a278f5edc32b1aa6be     0 Cache.Windows\B.TextureDx9_de.cache
          3368      1 43482234f977a8155a1c1d4f178c08b823610c2f     0 Cache.Windows\B.TextureDx9_de.toc
        578965      1 11e688093bcb41e690ec1eb85dfe9ebe05378355     0 Cache.Windows\B.TextureDx9_en.cache
          3368      1 6559c7a2209812e46deadb6b513c0b74f3938fb8     0 Cache.Windows\B.TextureDx9_en.toc
        619933      1 a9cf72157b63342c2afbacd3be71606a25fadb4e     0 Cache.Windows\B.TextureDx9_es.cache
