Content Manifest for Depot 230411 

Manifest ID / date     : 6961091191944066345 / 04/12/2013 21:18:18 
Total number of files  : 241 
Total number of chunks : 2071 
Total bytes on disk    : 1988924052 
Total bytes compressed : 1556342096 


          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    40 Cache.Windows
      36833647     36 39766a681a7cac90081726324a69f6cc1b9ebd89     0 Cache.Windows\B.AnimRetarget.cache
         43208      1 9cad9f51d84770e9e0ffe4b62e871d59a9d2d273     0 Cache.Windows\B.AnimRetarget.toc
       6570031      7 16d005dc0c3ddfce212b0faf391ccf9a944cb3ee     0 Cache.Windows\B.Font.cache
         36200      1 d7e26925d37d2fef5c16042b48e001ee481be24c     0 Cache.Windows\B.Font.toc
     347572399    342 fa5159bac24f3885dabc3e3e999a5673f3ee13ec     0 Cache.Windows\B.Misc.cache
        809096      1 a7b93367a9e00fe308a456046363f1a3fe8aca0e     0 Cache.Windows\B.Misc.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_de.cache
         25064      1 ecc6f13258ee7669877fb2c06ffbda1642d00f63     0 Cache.Windows\B.Misc_de.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_en.cache
         25064      1 2ff2139c74138b8619165e5734607190159940ed     0 Cache.Windows\B.Misc_en.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_es.cache
         25064      1 ecc6f13258ee7669877fb2c06ffbda1642d00f63     0 Cache.Windows\B.Misc_es.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_fr.cache
         25064      1 ecc6f13258ee7669877fb2c06ffbda1642d00f63     0 Cache.Windows\B.Misc_fr.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_it.cache
         25064      1 ecc6f13258ee7669877fb2c06ffbda1642d00f63     0 Cache.Windows\B.Misc_it.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_ja.cache
         25064      1 ecc6f13258ee7669877fb2c06ffbda1642d00f63     0 Cache.Windows\B.Misc_ja.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_ko.cache
         25064      1 ecc6f13258ee7669877fb2c06ffbda1642d00f63     0 Cache.Windows\B.Misc_ko.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_pl.cache
         25064      1 ecc6f13258ee7669877fb2c06ffbda1642d00f63     0 Cache.Windows\B.Misc_pl.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_pt.cache
         25064      1 ecc6f13258ee7669877fb2c06ffbda1642d00f63     0 Cache.Windows\B.Misc_pt.toc
       6280085      7 8b065af9f2f7feae0c3a6d4d6e9fb6f2d52a94ff     0 Cache.Windows\B.Misc_ru.cache
         25064      1 99d9d9643f841d52fea935ab6bf9e6fe7e21ddd1     0 Cache.Windows\B.Misc_ru.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_uk.cache
         25064      1 ecc6f13258ee7669877fb2c06ffbda1642d00f63     0 Cache.Windows\B.Misc_uk.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_zh.cache
         25064      1 ecc6f13258ee7669877fb2c06ffbda1642d00f63     0 Cache.Windows\B.Misc_zh.toc
       3458790      4 7b51456661958b441824017f58ff5cc2fbfc15b8     0 Cache.Windows\B.ShaderDx11.cache
         12296      1 3779e21ec40e38c99f7d1ac5a9c0f0b11a013041     0 Cache.Windows\B.ShaderDx11.toc
       2615954      3 c4f8cedc033d905e2fc07bf3703cc2650125adb2     0 Cache.Windows\B.ShaderDx9.cache
         12296      1 b4fd8d5d9ef84d34b35db90e211927fea5999946     0 Cache.Windows\B.ShaderDx9.toc
      35774739     35 23e99405aa8987209a406f806feb68ebcee016f1     0 Cache.Windows\B.ShaderPermutationDx11.cache
         69416      1 954fcf9c5338a94194ba558e1e8fdeca66db42c8     0 Cache.Windows\B.ShaderPermutationDx11.toc
       8606864      9 03e198ad79c5fcfe8345d212722512545e533769     0 Cache.Windows\B.ShaderPermutationDx9.cache
         69320      1 f0c701088e9c35369ae5170ab8f77fb571a7798d     0 Cache.Windows\B.ShaderPermutationDx9.toc
     120592434    122 d6950dcb3685c9e65af8ea773b3ef7a80e57ce4c     0 Cache.Windows\B.TextureDx9.cache
        480488      1 2fd8f405e498cb53bddb24b8aae54d42500f4712     0 Cache.Windows\B.TextureDx9.toc
