Content Manifest for Depot 230411 

Manifest ID / date     : 3864063200081954630 / 12/12/2024 13:01:29 
Total number of files  : 322 
Total number of chunks : 49767 
Total bytes on disk    : 48195266730 
Total bytes compressed : 47027208016 


          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    40 Cache.Windows
     129842302    124 fc66742710b721bbf711cdd2b8e7bf919fbc2705     0 Cache.Windows\B.AnimRetarget.cache
        984392      1 9bb1940593fe6972304c4783b1f70ebc41ee03b7     0 Cache.Windows\B.AnimRetarget.toc
         13950      1 72b9f8c6aefc3a63cd7ecba3539028d4aebc724a     0 Cache.Windows\B.CharacterCodesCache.cache
           200      1 d8537dc3a4b72001b3f76a21f8038eb9bccb125c     0 Cache.Windows\B.CharacterCodesCache.toc
      19497784     19 d9346df1c822ad61f4a017bb76c6aeb446866ac3     0 Cache.Windows\B.Font.cache
        492104      1 c782eeb5de591a9dbd7e4d13d5c6dd083b6121d9     0 Cache.Windows\B.Font.toc
    1796245731   1735 6350e877a3f2fe8923c65a326c13153cc51a051f     0 Cache.Windows\B.LightMap.cache
       5431112      6 b963ef0cd71a1d7fefdf54cb8e8f39909d62c2ff     0 Cache.Windows\B.LightMap.toc
    5801588723   5675 201d9f1ae717b06d54a0e148246f2c23a96a7a92     0 Cache.Windows\B.Misc.cache
      14368904     14 12b25a06365b90bf10e856044ce5150b8823967c     0 Cache.Windows\B.Misc.toc
         23382      1 2b74edf43fed0d43bf47a554ea6b65dd2ccad67a     0 Cache.Windows\B.Misc_de.cache
          3752      1 2957dbb3966060567fbd65d0489e0eba103da2a0     0 Cache.Windows\B.Misc_de.toc
         22368      1 6f77ec1b4430d5151cd3ce87891f58e7bc293472     0 Cache.Windows\B.Misc_en.cache
          3752      1 90e33c725c35c322f77a9851ed97d9530ec737d6     0 Cache.Windows\B.Misc_en.toc
         23659      1 3d1af2e73c0d24087301200145422274f0641888     0 Cache.Windows\B.Misc_es.cache
          3752      1 946509b60eaa55e76065e64be5c0dce899a38728     0 Cache.Windows\B.Misc_es.toc
         24364      1 0514eddc72b890f9293c48167d3cecf25008dd95     0 Cache.Windows\B.Misc_fr.cache
          3752      1 2b5080877d229f4057587ed5c0f507d98515ebb1     0 Cache.Windows\B.Misc_fr.toc
         23956      1 99f7bbdf8512a045e6194bbd55de91ab51eb11d0     0 Cache.Windows\B.Misc_it.cache
          3752      1 d2517762e4a0d1f4ab11ed3099f9684c8dd52113     0 Cache.Windows\B.Misc_it.toc
        188896      1 fa9d86dd5b81d1018bcdac67c0e6ff4333f4de70     0 Cache.Windows\B.Misc_ja.cache
          3752      1 c563a287f0bbafddf5ebfb358fb0fc3ef73df25c     0 Cache.Windows\B.Misc_ja.toc
        106146      1 295888e6cff35971f6f6c735bf672e0e189b7c50     0 Cache.Windows\B.Misc_ko.cache
          3752      1 cfd25d212261e066bcb3541452144f7538cebaba     0 Cache.Windows\B.Misc_ko.toc
         21804      1 dcd7b4e55cffa4ea931ca32727ad74a3f486c4b1     0 Cache.Windows\B.Misc_pl.cache
          3752      1 59caad1a9f664ad5cc6eadbd03189a93ab1df5c8     0 Cache.Windows\B.Misc_pl.toc
         23995      1 d5d3f2a19e61a1cc26314054d8f5e154901e342b     0 Cache.Windows\B.Misc_pt.cache
          3752      1 a71e1f3caa8f8d051fcdee4425bb096d62323db2     0 Cache.Windows\B.Misc_pt.toc
         24959      1 70dc88a01929cdc6d5312d58846b00dfc40a3884     0 Cache.Windows\B.Misc_ru.cache
          3752      1 723669b99ffdcacf7fcfa0c72504daf65d56073c     0 Cache.Windows\B.Misc_ru.toc
        231038      1 d5fbcd583241a01596bbdef07bfd059f2e4e7c6d     0 Cache.Windows\B.Misc_tc.cache
          3752      1 c6fbadcbb2b405a7697aca007551691cb9000866     0 Cache.Windows\B.Misc_tc.toc
         21250      1 0473911f78a015acfd5d94da2e49fc4e289546c7     0 Cache.Windows\B.Misc_th.cache
          3752      1 d148423a0830b2e9faf289d601317a4036e7c2f6     0 Cache.Windows\B.Misc_th.toc
         23583      1 44e81735f002a65b62d711dbb88a5610f06e3ecb     0 Cache.Windows\B.Misc_tr.cache
          3752      1 77df8562119b4248d88ed56b4f40d0e1c2aaea60     0 Cache.Windows\B.Misc_tr.toc
         24568      1 413480fbedc6171370023662c64185daba44ea9e     0 Cache.Windows\B.Misc_uk.cache
          3752      1 21c9236e5c6f33f1cc5181580ab1fd00d0af4e35     0 Cache.Windows\B.Misc_uk.toc
      95495773     93 c6edf2eedc74df74a1425419549c327975504417     0 Cache.Windows\B.Misc_xx.cache
       2976392      3 912a8dbac1802eb250c5dcb3cca15eee27a8971a     0 Cache.Windows\B.Misc_xx.toc
        224963      1 dfc39c32177834fbe0b66e9f785defa3910bfeae     0 Cache.Windows\B.Misc_zh.cache
