Content Manifest for Depot 230411 

Manifest ID / date     : 677450530474051174 / 08/03/2018 00:35:30 
Total number of files  : 448 
Total number of chunks : 25856 
Total bytes on disk    : 25033736572 
Total bytes compressed : 20291769312 


          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    40 Cache.Windows
     126174575    121 c362c1411250590d561691810ffcd1e7c6e7a547     0 Cache.Windows\B.AnimRetarget.cache
        372104      1 13ccf5ff960c7dd8e78d4cc065e645beb28d025d     0 Cache.Windows\B.AnimRetarget.toc
         37758      1 3ef76df48c95fac959626f6ba2451cf7f28a4790     0 Cache.Windows\B.CharacterCodesCache.cache
           200      1 4fc938d7639d5dfe405f24f161928042857feae6     0 Cache.Windows\B.CharacterCodesCache.toc
       4251935      5 9b4507f9d05af5ad9ab2e695f5b8a1b6dfbc5a15     0 Cache.Windows\B.CharacterCodesCacheDx10.cache
          8360      1 ce3a262423f661a2bb5f272aecf59e159e740c80     0 Cache.Windows\B.CharacterCodesCacheDx10.toc
       4268256      5 9be6752e6e82f0bc59616a863318857b64c2680b     0 Cache.Windows\B.CharacterCodesCacheDx11.cache
          8360      1 f565ed16652095037e8873b009d56db722985066     0 Cache.Windows\B.CharacterCodesCacheDx11.toc
       2436161      3 e750b2dd897f9efbb9e1b445143deb60076d258a     0 Cache.Windows\B.CharacterCodesCacheDx9.cache
          8360      1 a5a320dc9f68e051380ae3fdb65848a3a5854197     0 Cache.Windows\B.CharacterCodesCacheDx9.toc
      12530501     12 1aea7d2491032b14080b5ed7ae491d3c293d3ff1     0 Cache.Windows\B.Font.cache
        214664      1 83d50838e85f63072f499730dae0e3a126435a36     0 Cache.Windows\B.Font.toc
    3017546080   2978 5853bcdc8d5c534b4cd7a5421089ce902ad19c90     0 Cache.Windows\B.Misc.cache
       6058568      6 159caf12b29674695c17295b7c757c5ac46a993b     0 Cache.Windows\B.Misc.toc
         61489      1 642816cf73c0510f9f6918e99cb70aa0b6a09559     0 Cache.Windows\B.Misc_de.cache
          6728      1 c7ead4b3244137413f0e191aba49a0b7617a0c53     0 Cache.Windows\B.Misc_de.toc
         57583      1 1de88cea0457b11618fe7a03ec2836177abdbbf1     0 Cache.Windows\B.Misc_en.cache
