Content Manifest for Depot 230411 

Manifest ID / date     : 6399786153404128119 / 04/26/2013 22:51:44 
Total number of files  : 241 
Total number of chunks : 1996 
Total bytes on disk    : 1944268743 
Total bytes compressed : 1527712192 


          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    40 Cache.Windows
      34591429     33 6604418a46ba892aac58ba7ca80c21e8836c230f     0 Cache.Windows\B.AnimRetarget.cache
         42440      1 3b53f3960889fd5581ffbd435e3770e5e778199c     0 Cache.Windows\B.AnimRetarget.toc
       6056269      6 2f2fd7dd11c12e7c9c484d901472d0ea611856cd     0 Cache.Windows\B.Font.cache
         35720      1 1ca7b9c39025f9af8a0bc9202b824d593f585d26     0 Cache.Windows\B.Font.toc
     362651781    350 f57abc0da4926f07e32d122ef098d5704c634e0a     0 Cache.Windows\B.Misc.cache
        825224      1 dde2ea8556accf56d9f7ef45e4f1ed080234340e     0 Cache.Windows\B.Misc.toc
       6068989      7 1629081dde3a84ce08f11814a554092d8209b6bc     0 Cache.Windows\B.Misc_de.cache
         25064      1 2b836bca43fde0bad4b1d0dc61f357f45ce06e1f     0 Cache.Windows\B.Misc_de.toc
       6068989      7 1629081dde3a84ce08f11814a554092d8209b6bc     0 Cache.Windows\B.Misc_en.cache
         25064      1 d1364da0fc4b4a07ffeeb2d3ee5b8cd0ac7b7901     0 Cache.Windows\B.Misc_en.toc
       6068989      7 1629081dde3a84ce08f11814a554092d8209b6bc     0 Cache.Windows\B.Misc_es.cache
         25064      1 2b836bca43fde0bad4b1d0dc61f357f45ce06e1f     0 Cache.Windows\B.Misc_es.toc
       6068989      7 1629081dde3a84ce08f11814a554092d8209b6bc     0 Cache.Windows\B.Misc_fr.cache
         25064      1 2b836bca43fde0bad4b1d0dc61f357f45ce06e1f     0 Cache.Windows\B.Misc_fr.toc
       6068989      7 1629081dde3a84ce08f11814a554092d8209b6bc     0 Cache.Windows\B.Misc_it.cache
         25064      1 2b836bca43fde0bad4b1d0dc61f357f45ce06e1f     0 Cache.Windows\B.Misc_it.toc
       6068989      7 1629081dde3a84ce08f11814a554092d8209b6bc     0 Cache.Windows\B.Misc_ja.cache
         25064      1 2b836bca43fde0bad4b1d0dc61f357f45ce06e1f     0 Cache.Windows\B.Misc_ja.toc
       6068989      7 1629081dde3a84ce08f11814a554092d8209b6bc     0 Cache.Windows\B.Misc_ko.cache
         25064      1 2b836bca43fde0bad4b1d0dc61f357f45ce06e1f     0 Cache.Windows\B.Misc_ko.toc
       6068989      7 1629081dde3a84ce08f11814a554092d8209b6bc     0 Cache.Windows\B.Misc_pl.cache
         25064      1 2b836bca43fde0bad4b1d0dc61f357f45ce06e1f     0 Cache.Windows\B.Misc_pl.toc
       6068989      7 1629081dde3a84ce08f11814a554092d8209b6bc     0 Cache.Windows\B.Misc_pt.cache
         25064      1 2b836bca43fde0bad4b1d0dc61f357f45ce06e1f     0 Cache.Windows\B.Misc_pt.toc
       6280085      8 71fbd2cf9c296a6688de39812a8b4eb4041de8d6     0 Cache.Windows\B.Misc_ru.cache
         25064      1 7063220bfe450ec2587aa93d3307941a05b91a22     0 Cache.Windows\B.Misc_ru.toc
       6068989      7 1629081dde3a84ce08f11814a554092d8209b6bc     0 Cache.Windows\B.Misc_uk.cache
         25064      1 2b836bca43fde0bad4b1d0dc61f357f45ce06e1f     0 Cache.Windows\B.Misc_uk.toc
       6068989      7 1629081dde3a84ce08f11814a554092d8209b6bc     0 Cache.Windows\B.Misc_zh.cache
         25064      1 2b836bca43fde0bad4b1d0dc61f357f45ce06e1f     0 Cache.Windows\B.Misc_zh.toc
       3514224      4 951e4d219e12599ba20758c53dd1df53bd2633a3     0 Cache.Windows\B.ShaderDx11.cache
         12488      1 8443bb1abfab2c52116f1d59db66f07367b22c14     0 Cache.Windows\B.ShaderDx11.toc
       2671388      3 8f72803086d8d9c811504e4ddfbf659b133bfa8b     0 Cache.Windows\B.ShaderDx9.cache
         12488      1 f89187127667516c1ce5627d5bdcd7a56307c2f6     0 Cache.Windows\B.ShaderDx9.toc
      35174858     34 c1f7b48be7e7d22735dfd004a059254b96cf6059     0 Cache.Windows\B.ShaderPermutationDx11.cache
         71720      1 6ed816e96956d73a8303e4ecd21d106c09aaa1e2     0 Cache.Windows\B.ShaderPermutationDx11.toc
       8728268      9 0ae83092747137dbe0c2847a1203d0928d5de6df     0 Cache.Windows\B.ShaderPermutationDx9.cache
         71528      1 f6238a76f330b7abf8643e88f6e415f47333427b     0 Cache.Windows\B.ShaderPermutationDx9.toc
