Content Manifest for Depot 230411 

Manifest ID / date     : 9176710083987114410 / 03/25/2013 16:34:35 
Total number of files  : 241 
Total number of chunks : 1661 
Total bytes on disk    : 1578206227 
Total bytes compressed : 1229544320 


          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    40 Cache.Windows
      19972709     20 f300c27b3cbf7b0bfc7a698a2081805962f460b3     0 Cache.Windows\B.AnimRetarget.cache
         34664      1 b793051ddb3a0292f616921951606cbf8877cbd2     0 Cache.Windows\B.AnimRetarget.toc
       4302363      5 b4457e4b4ccd86bf891f693c5eb3728d655d7346     0 Cache.Windows\B.Font.cache
         29672      1 b1c121f1ef6cb2d2e0f48edd4fc81dda260d2765     0 Cache.Windows\B.Font.toc
     289002013    285 f1c46ef98e95f0c5f46831eb4b61d2b0612b8bb7     0 Cache.Windows\B.Misc.cache
        693992      1 b2425bd0e9d5b5274b78258f32787d59a2fcfc70     0 Cache.Windows\B.Misc.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_de.cache
         25064      1 0d67c615c29227f550aeaff2f448ba32aaafd713     0 Cache.Windows\B.Misc_de.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_en.cache
         25064      1 cc7048f2195d58eaebcdc43db7624fff7d28041f     0 Cache.Windows\B.Misc_en.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_es.cache
         25064      1 0d67c615c29227f550aeaff2f448ba32aaafd713     0 Cache.Windows\B.Misc_es.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_fr.cache
         25064      1 0d67c615c29227f550aeaff2f448ba32aaafd713     0 Cache.Windows\B.Misc_fr.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_it.cache
         25064      1 0d67c615c29227f550aeaff2f448ba32aaafd713     0 Cache.Windows\B.Misc_it.toc
       6068989      7 40acb2398d6abf0498ffeabca0fbb88f8a37ce77     0 Cache.Windows\B.Misc_ja.cache
         25064      1 0d67c615c29227f550aeaff2f448ba32aaafd713     0 Cache.Windows\B.Misc_ja.toc
