Content Manifest for Depot 230411 

Manifest ID / date     : 2281391866826940520 / 11/20/2020 00:32:58 
Total number of files  : 297 
Total number of chunks : 30331 
Total bytes on disk    : 30288352722 
Total bytes compressed : 27159154368 


          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    40 Cache.Windows
      78196702     75 7f14a2dc853862ce1c013fd261a3b5330e9464c3     0 Cache.Windows\B.AnimRetarget.cache
        570824      1 0bc7208cb627eb02cb554ea37f904e71ab1a538a     0 Cache.Windows\B.AnimRetarget.toc
         13007      1 ab88ed984af4f2d2eff04724f3449005f31cf6fa     0 Cache.Windows\B.CharacterCodesCache.cache
           200      1 d3d521aac2a796c0eeee19a8045b84b861a778f2     0 Cache.Windows\B.CharacterCodesCache.toc
      11968576     12 7ae7ca7ebdc52d696c17fa67d303d016a4f963d0     0 Cache.Windows\B.Font.cache
        309512      1 b81cd6d9db343dce93d3c957864227d24aa77187     0 Cache.Windows\B.Font.toc
    1047118073   1000 02d5aad8da3e9afbfc17b98c19f88f8f89c3ef62     0 Cache.Windows\B.LightMap.cache
       3650216      4 50d73fef4605694f9c1d2e415769ae3c650d661b     0 Cache.Windows\B.LightMap.toc
    5521475081   5468 3dbe7c8c3bdaf223f6c7bdb837ece04d6f8b9e04     0 Cache.Windows\B.Misc.cache
       9431912      9 788f8f6ad4d58d8765b1cae4226f1a8dcc6232d8     0 Cache.Windows\B.Misc.toc
         23071      1 705dfe09501b02b101c5a39f8641534f5c25437d     0 Cache.Windows\B.Misc_de.cache
          3272      1 5402b04e5fbbd252b79b4ed45ee013c95e1842d7     0 Cache.Windows\B.Misc_de.toc
         21624      1 78ec34f4d105443ac34238e0df9a768f12a05a0b     0 Cache.Windows\B.Misc_en.cache
          3272      1 1b2071c723b230a3921285805c71acdd1b1f42a4     0 Cache.Windows\B.Misc_en.toc
         23457      1 751f1903a29395c6e051ea335a0698781768e74e     0 Cache.Windows\B.Misc_es.cache
          3272      1 fb2d95eb51585c13ba6723f8bf55051c6c19212d     0 Cache.Windows\B.Misc_es.toc
         23904      1 d067ef100b40b54c741faaa83d2226bb49c5fc29     0 Cache.Windows\B.Misc_fr.cache
          3272      1 95afe3e34f60067c55af3ef4120b2f229146497d     0 Cache.Windows\B.Misc_fr.toc
         23621      1 d124a60a638702b8bc2048917e07854dc53d3947     0 Cache.Windows\B.Misc_it.cache
          3272      1 7d238618d5ed0522e09df8d945d6eb3cb1414879     0 Cache.Windows\B.Misc_it.toc
        174132      1 0db55ef540701b26a049bea7912b3ff08d8adb68     0 Cache.Windows\B.Misc_ja.cache
          2888      1 afdbb211588afe831f43d092b3ccda9d5a3eb0a4     0 Cache.Windows\B.Misc_ja.toc
         95395      1 9b086c3dfdc3c3185de4d69a645b4a839fdd55c0     0 Cache.Windows\B.Misc_ko.cache
          2888      1 95ded537b3cbf9db5e7284d590936835615ecc1b     0 Cache.Windows\B.Misc_ko.toc
