Content Manifest for Depot 230411 

Manifest ID / date     : 3584168904277131181 / 08/19/2016 23:36:23 
Total number of files  : 321 
Total number of chunks : 15118 
Total bytes on disk    : 17588451709 
Total bytes compressed : 11905746832 


          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    40 Cache.Windows
     103672227     99 0f28eefd501a02542e00d2498a233fc943dba999     0 Cache.Windows\B.AnimRetarget.cache
        274376      1 8cdab769b342c1f8f7be65c6b230fe2e28f6a7e5     0 Cache.Windows\B.AnimRetarget.toc
      16466567     16 8d2b28e094ee2ab67bd0fee7c2bf36d308d8f60f     0 Cache.Windows\B.Font.cache
        152648      1 456641bbed274bf31ef91c96c97bfc44808c5aed     0 Cache.Windows\B.Font.toc
    1989280818   1938 40a8b945ca1233352beec31abe14cde3f4df4d39     0 Cache.Windows\B.Misc.cache
       4491560      5 44f7a2f95a3e51bf6a488a7ae5f32f175483d015     0 Cache.Windows\B.Misc.toc
       6106157      6 76a676fa110313d5a2b65ca60dfb1d4ab305e775     0 Cache.Windows\B.Misc_de.cache
        506888      1 7e745447f7d8004ce9b0ae8ecaa422578586ad25     0 Cache.Windows\B.Misc_de.toc
       6105210      6 09b94d278c5abac2ce1e28405046ccfafa7e34c6     0 Cache.Windows\B.Misc_en.cache
        506888      1 550b72a6797398d48e7190e8bf9c656ea28e77b4     0 Cache.Windows\B.Misc_en.toc
       6106345      7 b572831554fe7ba67b462e78be8202d5480ed7e0     0 Cache.Windows\B.Misc_es.cache
        506888      1 923a1e25e7b5e633ac04029636aa5df8d1a931f2     0 Cache.Windows\B.Misc_es.toc
       6106079      6 6e03dab722f8fb029c160b1961531b18483e4ac7     0 Cache.Windows\B.Misc_fr.cache
        506888      1 6c478301b050dbf180fdf70654d2bf0e47f93bac     0 Cache.Windows\B.Misc_fr.toc
       6107129      7 5bf21c5e124109aaa854828c867c310ff40d9aa4     0 Cache.Windows\B.Misc_it.cache
        506888      1 0ae639b440c60bce7836a824590754207867186e     0 Cache.Windows\B.Misc_it.toc
       6105679      6 6d575af80f7ae2b97513491b0760a14fca6aa3db     0 Cache.Windows\B.Misc_ja.cache
        506888      1 8b0b90abbafad2b8bcba125d13c1b4d77844356d     0 Cache.Windows\B.Misc_ja.toc
       6105320      6 44d9f4e63c8b62b5a087c51ff7da8a8aff0149d5     0 Cache.Windows\B.Misc_ko.cache
        506888      1 8c9a3197a2adf26b05e6d339c40c83a3e049ffc3     0 Cache.Windows\B.Misc_ko.toc
       6106966      7 6d8e0a49e563e1505f6da95820026fbcbf60855c     0 Cache.Windows\B.Misc_pl.cache
        506888      1 68dabe2400806f01bffc7251c80be52d209c8c9c     0 Cache.Windows\B.Misc_pl.toc
       6107848      7 a985ffd7d68093a32c67c0af65c88fba7417d0c7     0 Cache.Windows\B.Misc_pt.cache
        506888      1 0a5ba324a878226c67d6404fc13f4401c50d4bdd     0 Cache.Windows\B.Misc_pt.toc
       6108157      7 5141420c0f7847d8fd28da2304e1d605aa27f3b1     0 Cache.Windows\B.Misc_ru.cache
        506888      1 e7f413fde4ed18d0d4eee2a440fe0bb7bb630bfd     0 Cache.Windows\B.Misc_ru.toc
       6105373      6 cde652c34d139ead4f9fbcd74a78f0a89700a681     0 Cache.Windows\B.Misc_tc.cache
        506888      1 e6f29d701fb0f5b7dc803c8bb1f05635a276e3b8     0 Cache.Windows\B.Misc_tc.toc
       6105396      6 8c87855d48c9e63dd758b4cee3127f98ffcb0e52     0 Cache.Windows\B.Misc_tr.cache
        506888      1 ca43727d10817022aea0c2571a417322d1d48eee     0 Cache.Windows\B.Misc_tr.toc
       6105348      6 03c9c427aa1a612a4b87db1391f4dfd330795b05     0 Cache.Windows\B.Misc_uk.cache
        506888      1 2cec576f0ebbcd6e80497bcc8d10a9468c76148b     0 Cache.Windows\B.Misc_uk.toc
       6105382      7 adbdbe29ac462cf5c189885ae79e7047aa51f0d1     0 Cache.Windows\B.Misc_zh.cache
        506888      1 d3c015cb4ed1c11e079dca1b875f948f8a0e63f2     0 Cache.Windows\B.Misc_zh.toc
        595784      1 af8868ee2dc4753f16cd9dca2717d0c5b32e67e1     0 Cache.Windows\B.ShaderDx10.cache
          6824      1 579faaded472e58060503281107a6dace10e97cf     0 Cache.Windows\B.ShaderDx10.toc
        587278      1 43ad9f1afccbc41eb2844e9fe31a59a04ae9e2da     0 Cache.Windows\B.ShaderDx11.cache
          6824      1 f585a08ac8e45a99a177ea3547464b881129a983     0 Cache.Windows\B.ShaderDx11.toc
        323963      1 201883d35f2f90a2e335de34c1bc3b30115ad8a5     0 Cache.Windows\B.ShaderDx9.cache
          6824      1 d79a5d61a99d336c2689952c27ee8e6fc4a8b74c     0 Cache.Windows\B.ShaderDx9.toc
      87592449     84 358b6574b99d843b8ccf443fb20ac87d10205769     0 Cache.Windows\B.ShaderPermutationDx10.cache
        297032      1 dc9a82944285ddd0faed9beeb0b0a95ff4bf7a2d     0 Cache.Windows\B.ShaderPermutationDx10.toc
      90920820     87 dacc578b2d8a06bedcf3c2b04b01f5ae898d39f0     0 Cache.Windows\B.ShaderPermutationDx11.cache
        297032      1 5e01afebddff7bb9e3234f97d6e1a9604dd988e2     0 Cache.Windows\B.ShaderPermutationDx11.toc
      45801292     44 6bc9433d0d713810e94db8dbcd2581690c373aa0     0 Cache.Windows\B.ShaderPermutationDx9.cache
        297032      1 aa24fcd644ea3a854d0e86b6c5b6f1026e4b4b1f     0 Cache.Windows\B.ShaderPermutationDx9.toc
     851022524    827 b4be8d47c4626f6e56a564e60da4e70366a9ed55     0 Cache.Windows\B.TextureDx9.cache
       3173864      4 463730e7a8566fac6b550b4a2c9ba5f9bb45c334     0 Cache.Windows\B.TextureDx9.toc
        547270      1 cdf56e6b32a5b1c9928ac6a7c0320ff65560d495     0 Cache.Windows\B.TextureDx9_de.cache
          5288      1 b2e7d1909e43a89de48a68dd37d23f37991399b7     0 Cache.Windows\B.TextureDx9_de.toc
        537098      1 786c33f737ed4c93b680c97803732859eea3d5bb     0 Cache.Windows\B.TextureDx9_en.cache
          5288      1 0a8307ab8f501bcadeaaa11c2b43c297cc55ce90     0 Cache.Windows\B.TextureDx9_en.toc
        561221      1 72c4b040af85e9d972bd2f5e423ea9fa2764582c     0 Cache.Windows\B.TextureDx9_es.cache
          5288      1 b01b5e36a3e0ada32653499e275b280cd27ace8d     0 Cache.Windows\B.TextureDx9_es.toc
        586135      1 d3b12c1abf93275b0ecdfc46ebe87424ce16a663     0 Cache.Windows\B.TextureDx9_fr.cache
          5288      1 dbc45f34a50cf8a05f9852a4b9adeb91f7b4f09a     0 Cache.Windows\B.TextureDx9_fr.toc
        565511      1 a36c612dc377e606e8a601b690a4bf78de8cfa83     0 Cache.Windows\B.TextureDx9_it.cache
          5288      1 c3101c0b992fedce0576f3e807996e51a80ec579     0 Cache.Windows\B.TextureDx9_it.toc
      32698621     32 3960c804f00beffc67835e7f4a4b5c6f4e6462bb     0 Cache.Windows\B.TextureDx9_ja.cache
          5288      1 7336aa2fe0b606f3a6160c83a796438ddaa7066d     0 Cache.Windows\B.TextureDx9_ja.toc
      12968431     13 ad4846d9a153592bc14d429de350573007104b86     0 Cache.Windows\B.TextureDx9_ko.cache
          5288      1 e6394ca40ee2d7430114dbff3c7a2eb34c290a34     0 Cache.Windows\B.TextureDx9_ko.toc
        452889      1 65d61eb9e577d0f89b39e5dd66c25d773a400951     0 Cache.Windows\B.TextureDx9_pl.cache
          5288      1 3c6bb455de131356629575f9eef209f6a1893c1a     0 Cache.Windows\B.TextureDx9_pl.toc
        581183      1 7db5f11b755e21830b72ae9e014f1c41a3908fc1     0 Cache.Windows\B.TextureDx9_pt.cache
          5288      1 228501b8e44f8bc7ea84fd8e50054e96eaf113ad     0 Cache.Windows\B.TextureDx9_pt.toc
        591907      1 db7fdfaeaa083dbdeabed065144ec30fa0fbd4f8     0 Cache.Windows\B.TextureDx9_ru.cache
          5288      1 2110187117c2346d4002deb8357cad3a0a40abb9     0 Cache.Windows\B.TextureDx9_ru.toc
      35078665     39 d893450065710b933e256eb74d7f183ce4194cda     0 Cache.Windows\B.TextureDx9_tc.cache
          5288      1 33cf4216e7163d20cf4134affab5b8a0dc341a8b     0 Cache.Windows\B.TextureDx9_tc.toc
        557904      1 4a8d9376008c62b893d6ae7942a8c399cb5e7bb7     0 Cache.Windows\B.TextureDx9_tr.cache
          5288      1 5e1e6ab84b6ed53dd2e5fc7af914940d64e6ed7b     0 Cache.Windows\B.TextureDx9_tr.toc
        603759      1 eedfafa50f6324edfce66d98caa2fff6b5e25737     0 Cache.Windows\B.TextureDx9_uk.cache
          5288      1 155341cd9a9406fded16a57fa927dd87eeb1df4d     0 Cache.Windows\B.TextureDx9_uk.toc
      37573704     40 f8735ab1c6f9eaba112c232a4831764f3121342f     0 Cache.Windows\B.TextureDx9_zh.cache
          5288      1 551e7ae4e5c0da5d874fa9f637342028cc6a976c     0 Cache.Windows\B.TextureDx9_zh.toc
    1492740644   1520 085e5437e94fe4cf52641457d5db806875bc13cc     0 Cache.Windows\F.Misc.cache
        284552      1 9ba4b90f1e296a6e9b5f4ead7edfa3f7afa09c67     0 Cache.Windows\F.Misc.toc
     206286258    212 ec0b84451e30fb3fdf31454a1fe3a9d0f894df72     0 Cache.Windows\F.Misc_de.cache
