Content Manifest for Depot 230411 

Manifest ID / date     : 8357063435845098593 / 04/05/2013 18:29:28 
Total number of files  : 241 
Total number of chunks : 1795 
Total bytes on disk    : 1724153446 
Total bytes compressed : 1342543728 


          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    40 Cache.Windows
      27601168     27 2babe8611e3eb234140aef7aa74125dcf8727f32     0 Cache.Windows\B.AnimRetarget.cache
         41288      1 a63af9ed6c1ff8da9b228e9d1261fed7ee4bd714     0 Cache.Windows\B.AnimRetarget.toc
       6358506      7 645209876c2bf3a5bb5a80676fd0f1a31a905dac     0 Cache.Windows\B.Font.cache
         34952      1 1c4c1f410ed2281c105a901acf26749598b6f4c2     0 Cache.Windows\B.Font.toc
     301955476    296 f176e88548ff323c54f4db5d2147172456c70731     0 Cache.Windows\B.Misc.cache
        713960      1 7d61ec478b824f3b6858b1d4edc86e11472b7106     0 Cache.Windows\B.Misc.toc
       6068989      7 5e3df3e78e7b0a159f2cfcfc947be1210a44a398     0 Cache.Windows\B.Misc_de.cache
         25064      1 664356d0a91a24d75c62d19f6a38da38569119f7     0 Cache.Windows\B.Misc_de.toc
       6068989      7 5e3df3e78e7b0a159f2cfcfc947be1210a44a398     0 Cache.Windows\B.Misc_en.cache
         25064      1 1992bdbec130954c65777384f963908a4b55095d     0 Cache.Windows\B.Misc_en.toc
       6068989      7 5e3df3e78e7b0a159f2cfcfc947be1210a44a398     0 Cache.Windows\B.Misc_es.cache
         25064      1 664356d0a91a24d75c62d19f6a38da38569119f7     0 Cache.Windows\B.Misc_es.toc
       6068989      7 5e3df3e78e7b0a159f2cfcfc947be1210a44a398     0 Cache.Windows\B.Misc_fr.cache
         25064      1 664356d0a91a24d75c62d19f6a38da38569119f7     0 Cache.Windows\B.Misc_fr.toc
       6068989      7 5e3df3e78e7b0a159f2cfcfc947be1210a44a398     0 Cache.Windows\B.Misc_it.cache
         25064      1 664356d0a91a24d75c62d19f6a38da38569119f7     0 Cache.Windows\B.Misc_it.toc
       6068989      7 5e3df3e78e7b0a159f2cfcfc947be1210a44a398     0 Cache.Windows\B.Misc_ja.cache
         25064      1 664356d0a91a24d75c62d19f6a38da38569119f7     0 Cache.Windows\B.Misc_ja.toc
       6068989      7 5e3df3e78e7b0a159f2cfcfc947be1210a44a398     0 Cache.Windows\B.Misc_ko.cache
         25064      1 664356d0a91a24d75c62d19f6a38da38569119f7     0 Cache.Windows\B.Misc_ko.toc
       6068989      7 5e3df3e78e7b0a159f2cfcfc947be1210a44a398     0 Cache.Windows\B.Misc_pl.cache
         25064      1 664356d0a91a24d75c62d19f6a38da38569119f7     0 Cache.Windows\B.Misc_pl.toc
       6068989      7 5e3df3e78e7b0a159f2cfcfc947be1210a44a398     0 Cache.Windows\B.Misc_pt.cache
         25064      1 664356d0a91a24d75c62d19f6a38da38569119f7     0 Cache.Windows\B.Misc_pt.toc
       6280085      7 db5730783036ed6a19c2d1fe4d306b10355e6e33     0 Cache.Windows\B.Misc_ru.cache
         25064      1 e91d487741c75721b6248a7da89339c1ead238b1     0 Cache.Windows\B.Misc_ru.toc
       6068989      7 5e3df3e78e7b0a159f2cfcfc947be1210a44a398     0 Cache.Windows\B.Misc_uk.cache
         25064      1 664356d0a91a24d75c62d19f6a38da38569119f7     0 Cache.Windows\B.Misc_uk.toc
       6068989      7 5e3df3e78e7b0a159f2cfcfc947be1210a44a398     0 Cache.Windows\B.Misc_zh.cache
         25064      1 664356d0a91a24d75c62d19f6a38da38569119f7     0 Cache.Windows\B.Misc_zh.toc
       3524670      4 2fbf2234fa812865e55b36c26a396d061bd4e944     0 Cache.Windows\B.ShaderDx11.cache
         12392      1 d902d8278a67688fb5fc9746d202f83fa73334a9     0 Cache.Windows\B.ShaderDx11.toc
       2681834      3 d9b76a3a5d3fabdaa2d54372539384346bd4949f     0 Cache.Windows\B.ShaderDx9.cache
         12392      1 c7ced38d1768c9717e5b937d09b47dd353241eaa     0 Cache.Windows\B.ShaderDx9.toc
      35479811     34 42f18c09b3c7d5e4e7100d20016166ae24bfe705     0 Cache.Windows\B.ShaderPermutationDx11.cache
         69128      1 b4512053e819de4559fe39164c50daa160a84a34     0 Cache.Windows\B.ShaderPermutationDx11.toc
       8941715      9 2e8fcb75aab0a6b861207098835077f21bf4611c     0 Cache.Windows\B.ShaderPermutationDx9.cache
         69320      1 ca61409a8ad6b88f130e1f1cd83fe8ca7286bfeb     0 Cache.Windows\B.ShaderPermutationDx9.toc
     109178586    111 ed58aa5d78ef578131ca33cd305642d6e90a3957     0 Cache.Windows\B.TextureDx9.cache
        426248      1 1a2d8a6a7df92d3ebd06c994484c6ec9ba5491ea     0 Cache.Windows\B.TextureDx9.toc
        634073      1 6c2ffe641196ea0598833546895f821285817ceb     0 Cache.Windows\B.TextureDx9_de.cache
         14024      1 468b0df4d2c4659f7600bd460fabae86d50eeed9     0 Cache.Windows\B.TextureDx9_de.toc
        376459      1 fd6719f9df3abb3e185079900c4ec024b6100835     0 Cache.Windows\B.TextureDx9_en.cache
         11624      1 9895e29c779e7ab87ab23fef2f82d071a3b1524c     0 Cache.Windows\B.TextureDx9_en.toc
        692025      1 1f42bea4752c7de3bd00d74e0d19dd4dab5aec8b     0 Cache.Windows\B.TextureDx9_es.cache
         14024      1 7b37dfd288ed94329d83dcf74eaa69a151fb9cfa     0 Cache.Windows\B.TextureDx9_es.toc
        849147      1 3461cbcb72de97f39d780bd581a1bbf042bba0a6     0 Cache.Windows\B.TextureDx9_fr.cache
         14504      1 8f5a3d86729f22f5263c56a8ff981763f6cab4a0     0 Cache.Windows\B.TextureDx9_fr.toc
        680495      1 78dd1e94702c794eb19c4c56d1babdad1251bcc2     0 Cache.Windows\B.TextureDx9_it.cache
         14120      1 e0b1cf6ce6e1347baea9ee8e935fd476de54f236     0 Cache.Windows\B.TextureDx9_it.toc
       4418334      5 ca8de742bb533154f6561103a0608231dcbcc6bf     0 Cache.Windows\B.TextureDx9_ja.cache
         12392      1 6540bf8c44a59cf29523531fe9e3018ae82fa69d     0 Cache.Windows\B.TextureDx9_ja.toc
       6496812      7 5b7ddd41697b7773445cc4272c06444a557cccaf     0 Cache.Windows\B.TextureDx9_ko.cache
         15272      1 e5f3b376110424b9ab2ca278157994404f92b6cf     0 Cache.Windows\B.TextureDx9_ko.toc
        757544      1 f3684d40d7d6adb2304163979bf0671ba81ce18a     0 Cache.Windows\B.TextureDx9_pl.cache
         14312      1 dcab0b13c4512afc736ff75b15268302d7e0873e     0 Cache.Windows\B.TextureDx9_pl.toc
        783399      1 7436bac86008db2de617e3c7a9320643ad735081     0 Cache.Windows\B.TextureDx9_pt.cache
         14216      1 2a4f927462b6ec383a6cb50ec4277ddf5a913911     0 Cache.Windows\B.TextureDx9_pt.toc
       1298836      2 fb412fe311253e47e536617f27b93d0803045f12     0 Cache.Windows\B.TextureDx9_ru.cache
         15272      1 39adb4c619f8139321b27b184677449ea3efc172     0 Cache.Windows\B.TextureDx9_ru.toc
        617525      1 a6b6edfc2e1fa9c97016394f0aad2979eea5100c     0 Cache.Windows\B.TextureDx9_uk.cache
         11624      1 a062a501a24b43347513832eda982f275183d282     0 Cache.Windows\B.TextureDx9_uk.toc
      15471802     15 f71e856eefa3159a184ce0b6f5da472d94d3dfd2     0 Cache.Windows\B.TextureDx9_zh.cache
         14408      1 9a5f128415e116967e511eaa51b1b010646e4108     0 Cache.Windows\B.TextureDx9_zh.toc
     131263754    140 3a1e326e27b13f12faaf20bc1ef56b69c8a4740a     0 Cache.Windows\F.Misc.cache
         22376      1 f1f73d34b6b1dd3850262f7a983299a69817d4d8     0 Cache.Windows\F.Misc.toc
        355810      1 22523cf6023587bc240e46cc67279ae2fdab5e18     0 Cache.Windows\F.Misc_de.cache
           680      1 753bd865ceaa83234b374d8e1806ce4cf50bae4e     0 Cache.Windows\F.Misc_de.toc
        355810      1 22523cf6023587bc240e46cc67279ae2fdab5e18     0 Cache.Windows\F.Misc_en.cache
           680      1 753bd865ceaa83234b374d8e1806ce4cf50bae4e     0 Cache.Windows\F.Misc_en.toc
        355810      1 22523cf6023587bc240e46cc67279ae2fdab5e18     0 Cache.Windows\F.Misc_es.cache
           680      1 753bd865ceaa83234b374d8e1806ce4cf50bae4e     0 Cache.Windows\F.Misc_es.toc
        355810      1 22523cf6023587bc240e46cc67279ae2fdab5e18     0 Cache.Windows\F.Misc_fr.cache
           680      1 753bd865ceaa83234b374d8e1806ce4cf50bae4e     0 Cache.Windows\F.Misc_fr.toc
        355810      1 22523cf6023587bc240e46cc67279ae2fdab5e18     0 Cache.Windows\F.Misc_it.cache
           680      1 753bd865ceaa83234b374d8e1806ce4cf50bae4e     0 Cache.Windows\F.Misc_it.toc
        355810      1 22523cf6023587bc240e46cc67279ae2fdab5e18     0 Cache.Windows\F.Misc_ja.cache
           680      1 753bd865ceaa83234b374d8e1806ce4cf50bae4e     0 Cache.Windows\F.Misc_ja.toc
        355810      1 22523cf6023587bc240e46cc67279ae2fdab5e18     0 Cache.Windows\F.Misc_ko.cache
           680      1 753bd865ceaa83234b374d8e1806ce4cf50bae4e     0 Cache.Windows\F.Misc_ko.toc
        355810      1 22523cf6023587bc240e46cc67279ae2fdab5e18     0 Cache.Windows\F.Misc_pl.cache
           680      1 753bd865ceaa83234b374d8e1806ce4cf50bae4e     0 Cache.Windows\F.Misc_pl.toc
        355810      1 22523cf6023587bc240e46cc67279ae2fdab5e18     0 Cache.Windows\F.Misc_pt.cache
           680      1 753bd865ceaa83234b374d8e1806ce4cf50bae4e     0 Cache.Windows\F.Misc_pt.toc
        355810      1 22523cf6023587bc240e46cc67279ae2fdab5e18     0 Cache.Windows\F.Misc_ru.cache
           680      1 753bd865ceaa83234b374d8e1806ce4cf50bae4e     0 Cache.Windows\F.Misc_ru.toc
        355810      1 22523cf6023587bc240e46cc67279ae2fdab5e18     0 Cache.Windows\F.Misc_uk.cache
           680      1 753bd865ceaa83234b374d8e1806ce4cf50bae4e     0 Cache.Windows\F.Misc_uk.toc
        355810      1 22523cf6023587bc240e46cc67279ae2fdab5e18     0 Cache.Windows\F.Misc_zh.cache
           680      1 753bd865ceaa83234b374d8e1806ce4cf50bae4e     0 Cache.Windows\F.Misc_zh.toc
     769635210    797 3294a0489247ecaf25517fc382fbdf9a0e773a30     0 Cache.Windows\F.TextureDx9.cache
